,Model,Dataset,RMSE,RMSE_std,R2,R2_std
0,Random Forest,Dados Originais,0.008864542087856586,0.00017624721663416594,0.7017951208371359,0.012347694447660974
1,Gradient Boosting,Dados Originais,0.013216661009353939,0.00015568062260408428,0.33733251562854916,0.01481465246544193
2,XGBoost,Dados Originais,0.013297569836389578,0.00018045301291781709,0.3292028687741601,0.015970035871855148
3,XGBoost Otimizado,Dados Originais,0.01393280782339928,0.00014569118766899386,0.26362742418941865,0.012691417157718087
4,Random Forest,Dados Padronizados,0.008863706511321396,0.00017640824768716147,0.701851075858593,0.012357294158263596
5,Gradient Boosting,Dados Padronizados,0.013216038237193917,0.0001551899453311753,0.3373960748275505,0.014737570177682903
6,XGBoost,Dados Padronizados,0.013297569836389578,0.00018045301291781709,0.3292028687741601,0.015970035871855148
7,XGBoost Otimizado,Dados Padronizados,0.01393280782339928,0.00014569118766899386,0.26362742418941865,0.012691417157718087
